,id,texto,fecha,retweets,likes,fuente,nickname,num_seguidores,num_siguiendo,ubicacion,listas
0,1231682607764602880,"@HufflepuffCohen No, no sé. No te conozco de nada y por ahora no puedo juzgarte. Solo comentaba mi opinión

-me jus… https://t.co/TzyJrnKDbW",2020-02-23 20:49:51,0,0,Twitter for Android,SalanderNathan,18,58,,0
1,1231682409655042049,@EsDeMamador no mames tienen razón *le da una mordida a su hamburguesa*,2020-02-23 20:49:04,0,0,Twitter for Android,fcovlimon,109,180,"Los Angeles, CA",2
2,1231682245162946560,necesito clavarme una hamburguesa completa💆‍♀️,2020-02-23 20:48:25,0,0,Twitter for Android,_bbeluu_,1498,984,"Buenos Aires, Argentina",1
3,1231682147414683655,"RT @Hugo_saez: El nuevo anuncio de Burger King, en el que la marca muestra como su hamburguesa Whopper se pudre con el paso de los días, ha…",2020-02-23 20:48:02,1493,0,Twitter for Android,R0mulof,227,938,Madrid (Smog-city),24
4,1231682028657152002,es broma las hamburguesas salen tal cual de la vaca es más las vacas tienen forma de hamburguesa,2020-02-23 20:47:33,0,0,Twitter for iPhone,frizzylis,621,265,Madrid / Paris,4
5,1231681961850212352,RT @CNNEE: McDonald’s lanza velas perfumadas que huelen a los ingredientes de tu hamburguesa preferida. Fueron creadas para celebrar los 50…,2020-02-23 20:47:17,101,0,Twitter for iPhone,danielks20504,205,1450,"Homestead, FL",2
6,1231681759785443328,@CucharaGerald Cual es esa hamburguesa? 🤤,2020-02-23 20:46:29,0,0,Twitter Web App,Yukihira_Mel,148,956,"Puntarenas, Costa Rica",0
7,1231681669742178312,RT @DPCHC19: tengo muchas ganas de una hamburguesa del corral con papitas y una deliciosa limonada😔,2020-02-23 20:46:08,5,0,Twitter for Android,camilaa_baron,994,253,Bogotá,1
8,1231681669230403585,"RT @Nanchinho: Menuda piara de mentirosos e irresponsables tenemos por Gobierno.

¿Marlaska ya le ha dicho algo o todavía está con la hambu…",2020-02-23 20:46:08,35,0,Twitter Web App,amicalupus,1150,849,España,154
9,1231681622921142272,"@turnedtodvst —desvía la mirada de su trasero, no quiere que le pille mirándole. Vuelve a colocarse bajo su chorro… https://t.co/AYChOIQVdy",2020-02-23 20:45:57,0,0,Twitter for Android,itwasntmx,369,189,madrizzzz | en la cama de eze,1
10,1231681620702367745,"RT @ramiroagulla1: ¿por qué diablos usan los nombres de nuestras cosas ? salamín, hamburguesa, boloñesa, albóndigas..y debe haber más -etc…",2020-02-23 20:45:56,20,0,Twitter for Android,pafernandezm,113,225,,0
11,1231681617514631169,RT @pauliroldang: Las mujeres q twittean y q “quien se comiera una pavlova” “alguien q me traiga una hamburguesa de franco” “quien me lleva…,2020-02-23 20:45:55,40,0,Twitter for Android,andrerincon,99,1005,Venezuela,5
12,1231681585893838848,estuve casi todo el dia sin comer para meterme media hamburguesa y un litro de vino en el cuerpo pero oye el chaval… https://t.co/6OtVh4ChRl,2020-02-23 20:45:48,0,0,Twitter for iPhone,_unlovxble,73,169,Spain,0
13,1231681576540524544,Hamburguesa de mostaza t deseo,2020-02-23 20:45:46,0,0,Twitter for Android,AldiCamacho94,670,572,,2
14,1231681546890944512,"RT @agmethescaf: @cejaspobladas Yo los domingos no hago dieta. Ya me embutí una hamburguesa con papas y gaseosa,  y un café pa la digestión…",2020-02-23 20:45:38,1,0,Twitter Web App,AdriGuapa84,34,196,,0
