,id,texto,fecha,retweets,likes,fuente,nickname,num_seguidores,num_siguiendo,ubicacion,listas
0,1231687054091788289,Tengo antojo de papas fritas y lo único que tengo en la despensa son como 4 paquete de galletas. Dilemas!!! Me pide… https://t.co/2QB3m5PcYO,2020-02-23 21:07:31,0,0,Twitter for Android,ElClover_,1685,2552,"Santiago, Chile",26
1,1231686886441312262,RT @Anitadiaz22_: Nunca no quiero papas fritas,2020-02-23 21:06:52,18,0,Twitter for Android,Yovi_Sgobba,109,246,"La Rioja, Argentina",1
2,1231686884813934598,Qué clase de madre se prepara papas fritas y no le deja nada a su hijo??!,2020-02-23 21:06:51,0,0,Twitter for iPhone,JChiechi,788,131,,0
3,1231686831919575040,"el domingo voy a ir al shooping con mis amigos, un fav y le robo las papas fritas a valentino",2020-02-23 21:06:39,0,5,Twitter Web App,candiartpop,739,650,☔,11
4,1231686567930089472,RT @clubdelbajon: Papas fritas con queso 🤤 https://t.co/eNiu1XWgAH,2020-02-23 21:05:36,279,0,Twitter for Android,Blurrytrader,82,285,"Mendoza, Argentina",1
5,1231686482886381568,RT @versotica: Cuando estoy en un restaurante y me preguntan “con qué contorno?” mi respuesta siempre va a ser: papas fritas,2020-02-23 21:05:15,44,0,Twitter for Android,ibraD10,291,316,,1
6,1231686384538341376,RT @versotica: Cuando estoy en un restaurante y me preguntan “con qué contorno?” mi respuesta siempre va a ser: papas fritas,2020-02-23 21:04:52,44,0,Twitter for Android,gabrielajoseeee,130,195,,0
7,1231686367362547713,"soñé que aldi estaba haciendo papas fritas e hice un esfuerzo por levantarme y fijarme si era cierto, y no, estaba… https://t.co/ZFJVe4aklS",2020-02-23 21:04:48,0,0,Twitter for Android,irinayebara,334,623,Trivia: Just Dance,0
8,1231686313210007553,"@ReasonToLive666 Te recontra rompieron el orto. Anoche fui al corso en Boedo y comimos en restaurante: 2 aguas, una… https://t.co/cr7vdpsrN6",2020-02-23 21:04:35,0,0,Twitter Web App,flacobras,2372,2241,Argentina,35
9,1231686283149414401,Que ganas de papas fritas,2020-02-23 21:04:28,0,0,Twitter for Android,Geanecarmelino1,978,528,rojas ,0
10,1231686182884532224,Algún estudio que confirme efectos positivos de comer papas fritas todos los días? 😖,2020-02-23 21:04:04,0,1,Twitter for iPhone,barbylu,566,167,En la luna,3
11,1231685895947988993,RT @Lord_Charcha: Hermano/a como te va a caer mal Ricky Martin? Es como decir que no te gusta la pizza o las papas fritas.,2020-02-23 21:02:55,3,0,Twitter for Android,JotaPez87,547,1356,Chile,2
12,1231685803513991168,Quiero una pizza con papas fritas y milanesa con empanadas https://t.co/Rm7TYSqft8,2020-02-23 21:02:33,0,0,Twitter for Android,AbriRemorini,53,48,"La Plata, Argentina",0
13,1231685757603061767,RT @PachiiBaldess: Que ganas de una coca y papas fritas.,2020-02-23 21:02:22,1,0,Twitter for Android,enneptunoh,113,157,En la concha de la lora ,0
14,1231685142093205507,"Unas ganas de que me des bola, así te cocino papas fritas, muchas papas fritas",2020-02-23 20:59:56,0,0,Twitter Web App,santyflores1,198,328,"Rosario, argentina",1
15,1231684983837929472,Antojo de lo más rico del mundo papas fritas y cerveza 🤤,2020-02-23 20:59:18,0,5,Twitter for iPhone,Japi_Pao,6585,6064,,14
16,1231684855504744450,Una de mis papas fritas tiene moho ☹️ https://t.co/xlXP63BQ3u,2020-02-23 20:58:47,0,2,Twitter for Android,Soy_UnaDamita69,617,182,,0
17,1231684845472014341,"RT @AlanGutierrez40: Si están en la Fiesta de la Cerveza de Santa Clara les rrecomiendo que vayan al stand 14. Tenemos licuados, papas frit…",2020-02-23 20:58:45,1,0,Twitter for Android,Totolaricchia,319,300,Mar del Plata,1
18,1231684716010594304,"@MConsuelofg Es que se pasan, si hubiesen sido suflitos y papas fritas no te dicen nada",2020-02-23 20:58:14,0,0,Twitter for Android,mpaz81,646,533,Chile,9
19,1231684537501048833,me consumen las ganas de milanesas con papas fritas,2020-02-23 20:57:31,0,0,Twitter for iPhone,anialbanese,499,445,,0
20,1231684198228004865,RT @Dolarizar: CON BARBACOA Y PAPAS FRITAS,2020-02-23 20:56:11,12,0,Twitter for iPhone,AcostaOctavio_,260,115,,0
21,1231684187725402114,@_Giobellina Ahora voy y te hago milanesas con papas fritas o puré?,2020-02-23 20:56:08,0,1,Twitter for Android,XlautarozaffaX,45,142,,0
22,1231684069005647874,RT @versotica: Cuando estoy en un restaurante y me preguntan “con qué contorno?” mi respuesta siempre va a ser: papas fritas,2020-02-23 20:55:40,44,0,Twitter for iPhone,Adrianalvarez_,1037,1073,the moon,7
23,1231683877829259265,quiero ahogarme en papas fritas,2020-02-23 20:54:54,0,0,Twitter Web App,GerxldineV,793,399,,1
